TEMPERATURE,status,HUMIDITY,status,ONLINETIME
25.40,+,41.50,,2020/04/14 17:19:59,,
25.40,+,41.50,,2020/04/14 17:20:05,,
25.40,+,41.50,,2020/04/14 17:20:10,,
25.40,+,41.40,,2020/04/14 17:20:15,,
25.40,+,41.40,,2020/04/14 17:20:21,,
25.40,+,41.40,,2020/04/14 17:20:36,,
25.40,+,41.40,,2020/04/14 17:20:47,,
25.40,+,41.40,,2020/04/14 17:20:52,,
23.6057.502020/04/15 10:22:14
23.6057.602020/04/15 10:22:20
23.6057.702020/04/15 10:22:25
23.6057.702020/04/15 10:22:30
23.6057.702020/04/15 10:22:35
23.6057.702020/04/15 10:22:41
23.6057.702020/04/15 10:22:46
22,-,57.70,,2020/04/15 10:22:51,,
23.6057.702020/04/15 10:22:56
23.6057.702020/04/15 10:23:02
23.6057.702020/04/15 10:23:07
23.6057.702020/04/15 10:23:12
23.6057.702020/04/15 10:23:17
23.6057.802020/04/15 10:23:23
23.6057.802020/04/15 10:23:28
23.6057.802020/04/15 10:23:33
23.6057.802020/04/15 10:23:39
23.6057.802020/04/15 10:23:44
23.6057.802020/04/15 10:23:49
23.6057.802020/04/15 10:23:54
25.40,+,55.90,,2020/04/15 11:23:27,,
25.40,+,55.90,,2020/04/15 11:23:34,,
25.40,+,55.80,,2020/04/15 11:23:38,,
25.40,+,55.80,,2020/04/15 11:23:43,,
25.40,+,55.80,,2020/04/15 11:23:49,,
25.40,+,55.80,,2020/04/15 11:23:54,,
25.40,+,55.80,,2020/04/15 11:23:59,,
25.40,+,55.80,,2020/04/15 11:24:04,,
25.40,+,55.80,,2020/04/15 11:24:10,,
25.40,+,55.80,,2020/04/15 11:24:15,,
25.40,+,55.80,,2020/04/15 11:24:20,,
25.40,+,55.80,,2020/04/15 11:24:25,,
25.40,+,55.80,,2020/04/15 11:24:31,,
25.40,+,55.90,,2020/04/15 11:24:36,,
25.40,+,55.80,,2020/04/15 11:24:41,,
25.40,+,55.80,,2020/04/15 11:24:46,,
25.40,+,55.80,,2020/04/15 11:24:52,,
25.40,+,55.80,,2020/04/15 11:24:57,,
25.40,+,55.80,,2020/04/15 11:25:02,,
25.40,+,55.80,,2020/04/15 11:25:08,,
25.40,+,55.80,,2020/04/15 11:25:13,,
25.40,+,55.80,,2020/04/15 11:25:18,,
25.40,+,55.80,,2020/04/15 11:25:23,,
25.40,+,55.80,,2020/04/15 11:25:29,,
25.40,+,55.80,,2020/04/15 11:25:34,,
25.40,+,55.80,,2020/04/15 11:25:39,,
25.40,+,55.80,,2020/04/15 11:25:44,,
25.40,+,55.80,,2020/04/15 11:25:50,,
25.40,+,55.80,,2020/04/15 11:25:55,,
25.40,+,55.80,,2020/04/15 11:26:00,,
25.40,+,55.80,,2020/04/15 11:26:06,,
25.40,+,55.80,,2020/04/15 11:26:11,,
25.40,+,55.80,,2020/04/15 11:26:16,,
25.40,+,55.70,,2020/04/15 11:26:21,,
25.40,+,55.80,,2020/04/15 11:26:27,,
25.40,+,55.70,,2020/04/15 11:26:32,,
25.40,+,55.70,,2020/04/15 11:26:37,,
25.40,+,55.80,,2020/04/15 11:26:42,,
25.40,+,55.70,,2020/04/15 11:26:48,,
25.40,+,55.70,,2020/04/15 11:26:53,,
25.40,+,55.70,,2020/04/15 11:26:58,,
25.40,+,55.70,,2020/04/15 11:27:04,,
25.40,+,55.70,,2020/04/15 11:27:09,,
25.40,+,55.70,,2020/04/15 11:27:14,,
25.40,+,55.70,,2020/04/15 11:27:19,,
25.40,+,55.70,,2020/04/15 11:27:25,,
25.40,+,55.70,,2020/04/15 11:27:30,,
25.40,+,55.70,,2020/04/15 11:27:35,,
25.40,+,55.70,,2020/04/15 11:27:40,,
25.40,+,55.70,,2020/04/15 11:28:12,,
25.50,+,55.60,,2020/04/15 11:28:17,,
25.40,+,55.60,,2020/04/15 11:28:23,,
25.40,+,55.60,,2020/04/15 11:28:28,,
25.50,+,55.60,,2020/04/15 11:28:33,,
25.40,+,55.60,,2020/04/15 11:28:38,,
25.40,+,55.60,,2020/04/15 11:28:44,,
25.40,+,55.60,,2020/04/15 11:28:49,,
25.40,+,55.60,,2020/04/15 11:28:54,,
25.40,+,55.60,,2020/04/15 11:28:59,,
25.40,+,55.60,,2020/04/15 11:29:05,,
25.40,+,55.60,,2020/04/15 11:29:10,,
25.40,+,55.60,,2020/04/15 11:29:15,,
25.40,+,55.60,,2020/04/15 11:29:21,,
25.40,+,55.60,,2020/04/15 11:29:26,,
25.40,+,55.60,,2020/04/15 11:29:31,,
25.50,+,55.60,,2020/04/15 11:29:36,,
25.40,+,55.60,,2020/04/15 11:29:42,,
25.50,+,55.60,,2020/04/15 11:29:47,,
25.50,+,55.60,,2020/04/15 11:29:52,,
25.50,+,55.60,,2020/04/15 11:29:57,,
25.50,+,55.60,,2020/04/15 11:30:03,,
25.50,+,55.60,,2020/04/15 11:30:08,,
25.50,+,55.60,,2020/04/15 11:30:13,,
25.50,+,55.60,,2020/04/15 11:30:19,,
